name,parent,value
Origin,,
Antigua and Barbuda,Origin,0.8615567333333333
Argentina,Origin,30.228132199999997
Aruba,Origin,7.661261763157895
Australia,Origin,12.285538952380952
Austria,Origin,71.63891080952381
Bahrain,Origin,0.011968621523809524
Barbados,Origin,0.9972953142857144
Belgium,Origin,62.054836095238095
Bermuda,Origin,0.0
Brazil,Origin,84.2123102
Bulgaria,Origin,59.920437
Canada,Origin,77.98911857142858
Cayman Islands,Origin,0.5872871199999999
Chile,Origin,38.04106578571429
China,Origin,32.3267565
Costa Rica,Origin,94.88637277777778
Croatia,Origin,58.8306965625
Cyprus,Origin,4.011015904285714
Denmark,Origin,41.16031638095238
Equatorial Guinea,Origin,15.229133050000002
Estonia,Origin,12.324831249999999
Finland,Origin,67.63500857142857
France,Origin,90.39816247619048
Gabon,Origin,46.032227
Germany,Origin,40.6680079047619
Greece,Origin,17.740282761904762
Grenada,Origin,0.0
Hungary,Origin,53.26322164705883
Iceland,Origin,99.9727319047619
Ireland,Origin,17.740883323809523
Israel,Origin,1.1379632255238095
Italy,Origin,27.749649571428574
Japan,Origin,28.821443285714288
Kazakhstan,Origin,8.9856786
Kuwait,Origin,0.01829275504761905
Latvia,Origin,57.82635492857143
Libya,Origin,0.015294007333333333
Lithuania,Origin,56.433094
Luxembourg,Origin,27.00741909047619
Malaysia,Origin,12.8361255625
Maldives,Origin,4.6875
Malta,Origin,3.4680639047619044
Mauritius,Origin,16.68844575
Mexico,Origin,21.7822192
Nauru,Origin,0.0
Netherlands,Origin,14.153465119047619
New Caledonia,Origin,19.126278375000002
New Zealand,Origin,74.27898757142857
Norway,Origin,98.43011142857144
Oman,Origin,0.032311153588235296
Panama,Origin,69.22223666666667
Poland,Origin,10.707601092857143
Portugal,Origin,41.3549639047619
Puerto Rico,Origin,1.1507108104761905
Qatar,Origin,0.02500716242857143
Romania,Origin,57.192139166666664
Saudi Arabia,Origin,0.015706451705882352
Seychelles,Origin,2.03489684375
Singapore,Origin,0.4047215067619048
Slovenia,Origin,65.0071192857143
Spain,Origin,49.55223852380953
Sweden,Origin,96.77957738095239
Switzerland,Origin,94.78569409523809
Trinidad and Tobago,Origin,0.16457846823529412
Turkey,Origin,26.724403333333335
United Arab Emirates,Origin,0.5287130247619047
United Kingdom,Origin,33.61920323809524
United States,Origin,31.712651952380952
Uruguay,Origin,83.54568163636364
