name,parent,value,gdp_per_capita
Australia,Origin,13.147247625,65317.576479999996
Bermuda,Origin,0.0,96669.60561105264
Cayman Islands,Origin,0.5872871199999999,79772.726328
Denmark,Origin,53.26834783333334,62078.52239333334
Iceland,Origin,100.0,69381.013684
Ireland,Origin,27.158794125,70256.69197875
Luxembourg,Origin,27.903245972222223,105788.62519222223
Norway,Origin,98.0617671875,83650.1093825
Qatar,Origin,0.033537230099999996,74067.709818
Singapore,Origin,1.3132125,64498.73693333333
Sweden,Origin,97.25005,60634.35440333333
Switzerland,Origin,94.56007335714285,82482.10121714286
United States,Origin,37.8963945,63011.7616975
